Player,Pos,GP,GS,MIN,G,A,Y/R,MOTM,Career Caps,Career Goals,Career Assists
"Acosta, Kellyn",M,6,4,392,1,1,1/0,0,23,2,1
"Adams, Tyler",M,8,7,658,1,0,1/0,0,9,1,0
"Agudelo, Juan",F,1,0,21,0,0,0/0,0,28,3,3
"Amon, Jonathan",M,1,1,55,0,0,0/0,0,1,0,0
"Arriola, Paul",M,2,1,100,0,0,0/0,0,17,2,2
"Bono, Alex",GK,1,1,90,0,0,0/0,0,1,0,0
"Bradley, Michael",M,2,1,101,0,0,0/0,0,142,17,22
"Brooks, John",D,3,3,270,0,0,0/0,1,36,3,0
"Cannon, Reggie",D,2,2,161,0,0,1/0,0,2,0,0
"Carter-Vickers, Cameron",D,6,6,511,0,0,2/0,0,7,0,0
"Corona, Joe",M,3,1,91,0,1,2/0,0,23,3,1
"de la Torre, Luca",M,1,0,13,0,0,0/0,0,1,0,0
"Delgado, Marky",M,6,3,268,0,0,0/0,0,6,0,0
"Gall, Romain",M,1,0,7,0,0,0/0,9,1,0,0
"Gooch, Lynden",M,1,0,17,0,0,0/0,0,5,0,0
"Green, Julian",M,7,4,381,1,0,0/0,0,15,4,0
"Guzan, Brad",GK,2,2,180,0,0,0/0,0,60,0,0
"Hamid, Bill",GK,2,2,135,0,0,0/0,0,6,0,0
"Horvath, Ethan",GK,1,1,90,0,0,0/0,1,3,0,0
"Lichaj, Eric",D,2,2,130,0,0,0/0,0,16,1,1
"Lletget, Sebastian",M,2,0,21,0,0,0/0,0,5,1,0
"Long, Aaron",D,2,2,180,0,0,0/0,0,2,0,0
"McKennie, Weston",M,6,6,460,0,0,2/0,0,7,1,0
"Miazga, Matt",D,7,7,597,0,1,1/0,1,11,1,1
"Moore, Shaq",D,5,3,243,0,0,2/0,0,5,0,0
"Morris, Jordan",F,1,1,90,0,0,0/0,1,25,5,2
"Morrow, Justin",D,1,1,90,0,0,1/0,0,4,0,0
"Nagbe, Darlington",M,1,1,89,0,0,0/0,0,25,1,1
"Novakovich, Andrija",F,3,0,52,0,0,0/0,0,3,0,0
"Olosunde, Matt",D,1,0,19,0,0,0/0,0,1,0,0
"Opara, Ike",D,1,1,90,0,0,0/0,0,1,0,0
"Palmer-Brown, Erik",D,2,1,123,0,0,0/0,0,2,0,0
"Parker, Tim",D,2,1,119,0,0,0/0,0,2,0,0
"Parks, Keaton",M,1,0,28,0,0,0/0,0,1,0,0
"Picault, Fafa",M,1,0,32,0,0,0/0,0,2,0,0
"Polster, Matt",D,1,1,90,0,0,0/0,0,1,0,0
"Pulisic, Christian",M,3,3,262,0,0,0/0,1,23,9,6
"Robinson, Antonee",D,6,4,372,0,2,1/0,0,6,0,2
"Roldan, Cristian",M,4,1,82,0,0,0/0,0,5,0,0
"Rowe, Kelyn",M,1,0,45,0,0,0/0,0,4,1,1
"Rubin, Rubio",M,4,2,180,0,0,0/0,0,7,0,0
"Saief, Kenny",M,3,2,139,0,0,0/0,0,4,0,0
"Sapong, C.J.",F,1,1,45,0,0,0/0,0,4,0,1
"Sargent, Josh",F,6,3,266,2,0,0/0,0,6,2,0
"Steffen, Zack",GK,6,5,495,0,0,0/0,1,6,0,0
"Sweat, Ben",D,2,1,105,0,0,0/0,0,2,0,0
"Trapp, Wil",M,9,8,714,0,0,0/0,2,11,0,0
"Villafaña, Jorge",D,6,3,292,0,0,0/0,0,21,0,1
"Weah, Tim",M,8,6,512,1,1,2/0,0,8,1,1
"Wood, Bobby",F,9,6,520,3,0,1/0,1,45,13,3
"Yedlin, DeAndre",D,8,5,455,0,0,2/0,0,57,0,7
"Zardes, Gyasi",M,3,2,145,0,0,0/0,0,40,6,8
"Zimmerman, Walker",D,3,3,270,1,0,0/0,1,4,1,0
