Player,Pos,GP,GS,MIN,G,A,G+A,YC,RC,W,L,D,MOTM,Career Caps,Career Goals,Career Assists,Career G+A
"Aaronson, Brenden",F,2,2,156,1,1,2,0,0,2,0,0,0,2,1,1,2
"Acosta, Kellyn",M,1,0,22,0,0,0,0,0,1,0,0,0,24,2,1,3
"Adams, Tyler",M,2,2,161,0,0,0,0,0,1,0,1,0,12,1,0,1
"Akinola, Ayo",F,1,1,74,1,0,1,0,0,1,0,0,0,1,1,0,1
"Araujo, Julian",D,1,1,74,0,1,1,0,0,1,0,0,0,1,0,1,1
"Arriola, Paul",F,2,2,148,1,0,1,0,0,2,0,0,0,34,6,4,10
"Brooks, John",D,1,1,90,0,0,0,0,0,0,0,1,0,39,0,0,0
"Cannon, Reggie",D,3,2,183,0,1,1,0,0,2,0,1,0,13,0,2,2
"Cardoso, Johnny",M,2,0,47,0,0,0,0,0,1,0,1,0,2,0,0,0
"de la Fuente, Konrad",M,1,1,71,0,0,0,0,0,0,0,1,0,1,0,0,0
"Dest, Sergiño",D,2,2,177,0,0,0,1,0,1,0,1,0,5,0,0,0
"Duncan, Kyle",D,1,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0
"Farfan, Marco",D,1,0,45,0,0,0,0,0,1,0,0,0,1,0,0,0
"Ferreira, Jesús",F,1,1,63,0,0,0,0,0,1,0,0,0,1,0,0,0
"Gasper, Chase",D,1,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0
"Gioacchini, Nicholas",F,2,1,88,2,0,2,1,0,1,0,1,1,2,2,0,2
"Hamid, Bill",GK,2,1,104,0,0,0,0,0,2,0,0,0,8,0,0,0
"Johnson, Sean",GK,1,1,76,0,0,0,0,0,1,0,0,0,9,0,0,0
"Ledezma, Richy",M,1,0,22,0,2,2,0,0,1,0,0,0,1,0,2,2
"Lewis, Jonathan",F,1,0,17,0,0,0,0,0,1,0,0,0,6,0,2,2
"Llanez, Ulysses",F,3,2,154,1,0,1,1,0,2,0,1,1,3,1,0,1
"Lletget, Sebastian",M,4,3,259,2,1,3,0,0,3,0,1,0,17,4,2,6
"Long, Aaron",D,2,2,146,0,0,0,0,0,2,0,0,0,18,3,1,4
"McKennie, Weston",M,2,2,180,0,0,0,1,0,1,0,1,1,21,6,3,9
"McKenzie, Mark",M,2,1,117,0,0,0,0,0,2,0,0,0,2,0,0,0
"Miazga, Matt",D,2,2,170,0,1,1,1,0,1,0,1,0,20,1,1,2
"Mihailovic, Djordje",M,1,0,16,0,0,0,0,0,1,0,0,0,6,1,0,1
"Mueller, Chris",F,1,1,90,2,1,3,0,0,1,0,0,1,1,2,1,3
"Musah, Yunus",M,2,2,155,0,0,0,0,0,1,0,1,0,2,0,0,0
"Otasowie, Owen",M,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0
"Ream, Tim",D,1,1,90,0,0,0,0,0,1,0,0,0,41,1,3,4
"Reyna, Gio",M,2,2,147,1,0,1,0,0,1,0,1,0,1,0,0,0
"Richards, Chris",D,1,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0
"Robinson, Antonee",D,1,1,90,0,0,0,0,0,0,0,1,0,8,0,2,2
"Servania, Brandon",M,1,0,24,0,0,0,0,0,1,0,0,0,1,0,0,0
"Soto, Sebastian",F,2,0,45,2,0,2,0,0,2,0,0,0,2,2,0,2
"Steffen, Zack",GK,2,2,180,0,0,0,0,0,1,0,1,0,19,0,0,0
"Vines, Sam",D,2,2,122,0,0,0,0,0,2,0,0,0,2,0,0,0
"Weah, Tim",F,2,0,39,0,0,0,1,0,1,0,1,0,10,1,0,1
"Yueill, Jackson",M,2,2,180,0,1,1,0,0,2,0,0,0,8,0,0,0
"Zardes, Gyasi",F,1,0,27,0,0,0,0,0,1,0,0,0,55,12,9,21
"Zimmerman, Walker",D,2,1,97,0,0,0,0,0,2,0,0,0,11,2,0,2
